iteration,u_l2,u_max,u_mean,v_l2,v_max,v_mean
100,0.05782493877682617,0.2335135935173685,0.041461223545973154,0.08099412437931716,0.278068111838527,0.061428812419791104
200,0.051264596924204146,0.15298617414395055,0.039310974575047015,0.0740817592907355,0.230259021228084,0.057157265281973284
300,0.048642254378902364,0.10856518520452574,0.03803238293443906,0.06815082166790419,0.19106996170799484,0.05368966441289286
400,0.04797056493016924,0.08865681309005108,0.037769031411341664,0.06294198098919339,0.15784505365171214,0.05056426506034298
500,0.047645476432742424,0.09252175210651237,0.03726871898684136,0.059158087601543376,0.13217398449049889,0.048069195967666255
