iteration,u_l2,u_max,u_mean,v_l2,v_max,v_mean
100,0.04996778458929334,0.2380082467576854,0.03142824475311735,0.08622165475057197,0.3239481592828668,0.05922958960203793
200,0.044044031690143336,0.16289329127575636,0.03054229804019728,0.07326139862237414,0.26370416677157915,0.05057464754080811
300,0.042537076845007474,0.11519373661766885,0.0333812140383391,0.06310792931559804,0.21325207859041329,0.04521320578187064
400,0.042949016476309616,0.08697219469276135,0.03568958095843141,0.055424132521820144,0.1731089934572433,0.041058964108468564
500,0.042504206683637434,0.09044516658930124,0.03524507505635291,0.05028407545943978,0.14513356977257827,0.03785688991979891
